"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","4275","54255","12","52","1338","18.778947"
"2","They Are Billions","270","2040","7","12","35","7.777777"
