"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","2325","21585","7","29","1449","37.393548"
"2","Tekken 7","1260","15885","9","42","495","23.571428"
"3","Kartrider","1110","12585","11","20","360","19.459459"
"4","Tom Clancy's Rainbow Six Siege","990","8970","8","19","271","16.424242"
"5","League of Legends","615","5805","8","15","250","24.390243"
"6","PUBG: BATTLEGROUNDS","540","5145","9","16","170","18.888888"
"7","DARK SOULS III","330","2235","5","10","73","13.272727"
"8","Party Panic","300","2565","7","14","55","11"
"9","ARAYA","240","2595","10","18","53","13.25"
"10","Overwatch","240","1875","7","10","62","15.5"
"11","Outlast","210","1950","9","13","31","8.857142"
"12","Deceit","195","2115","10","16","95","29.230769"
"13","Unlisted on Twitch","150","945","5","9","64","25.6"
"14","KKuTu Korea","150","1605","9","14","60","24"
"15","Hollow Knight","135","1215","9","13","21","9.333333"
"16","Dead by Daylight","90","750","8","13","40","26.666666"
"17","Travel & Outdoors","90","765","8","10","23","15.333333"
"18","Pacify","75","495","6","7","13","10.4"
"19","Puyo Puyo Tetris","60","615","10","11","19","19"
"20","Music","45","315","7","8","17","22.666666"
"21","We Need to Go Deeper","45","345","7","8","27","36"
"22","Super Animal Royale","30","465","15","16","26","52"
