"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike: Global Offensive","3345","7275","1","7","222","3.982062"
"2","Minecraft","945","2700","2","6","70","4.444444"
"3","American Truck Simulator","795","1635","1","6","59","4.45283"
"4","Call of Duty 4: Modern Warfare","525","1215","2","5","58","6.628571"
"5","Euro Truck Simulator 2","240","465","2","4","11","2.75"
"6","Grand Theft Auto IV","120","465","3","7","22","11"
"7","Fishing Planet","90","225","2","4","7","4.666666"
"8","Game of Thrones: A Telltale Games Series","90","150","1","2","5","3.333333"
"9","The Elder Scrolls V: Skyrim","75","240","3","5","5","4"
"10","Getting Over It with Bennett Foddy","30","180","6","6","5","10"
