"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","1485","15870","9","25","570","23.030303"
"2","Just Chatting","720","7215","7","17","378","31.5"
"3","Counter-Strike: Global Offensive","420","3675","8","19","172","24.571428"
"4","Monopoly One","255","1950","7","12","75","17.647058"
"5","Getting Over It with Bennett Foddy","195","1350","6","10","51","15.692307"
"6","Beholder 2","180","1380","7","11","21","7"
"7","Mafia","180","1575","8","12","41","13.666666"
"8","Apex Legends","135","1080","6","14","87","38.666666"
"9","Left 4 Dead 2","30","270","9","9","20","40"
"10","South Park: The Stick of Truth","30","210","7","7","22","44"
"11","PUBG: BATTLEGROUNDS","15","105","7","7","13","52"
"12","Rust","15","225","15","15","30","120"
"13","Project Winter","15","75","5","5","26","104"
