"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","1710","5565","3","8","122","4.280701"
"2","Just Chatting","915","3060","3","7","170","11.14754"
"3","Minecraft","585","2130","4","14","55","5.641025"
"4","Counter-Strike: Global Offensive","375","1200","2","6","20","3.2"
"5","Tom Clancy's Rainbow Six Siege","375","1215","3","6","23","3.68"
"6","The Cycle","285","1485","3","8","24","5.052631"
"7","The Elder Scrolls Online","255","975","3","9","22","5.17647"
"8","Overwatch","105","495","4","8","10","5.714285"
"9","Tom Clancy's Rainbow 6: Patriots","105","315","3","5","3","1.714285"
"10","Deceit","75","120","1","3","22","17.6"
"11","Moonlighter","45","180","4","5","8","10.666666"
"12","Miscreated","30","195","6","7","5","10"
"13","Ironsight","30","135","4","5","11","22"
