"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Metin2","7365","453945","58","263","24397","198.753564"
"2","Teamfight Tactics","2025","39330","19","47","3008","89.125925"
"3","Apex Legends","1140","19305","15","68","1186","62.421052"
"4","World of Warcraft","645","15195","24","51","2151","200.093023"
