"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Pokémon Omega Ruby/Alpha Sapphire","480","3090","6","11","76","9.5"
"2","Octopath Traveler","300","1800","5","14","39","7.8"
"3","Monster Hunter: World","300","1755","6","10","69","13.8"
"4","Dungeons & Dragons","180","1740","9","12","42","14"
"5","Hellblade: Senua's Sacrifice","105","360","3","5","10","5.714285"
"6","Just Chatting","90","510","7","11","9","6"
"7","KILL la KILL: IF","75","525","6","12","50","40"
"8","Terraria","75","345","4","7","17","13.6"
"9","Shenmue I & II","45","75","1","2","5","6.666666"
"10","Overwatch","30","150","5","5","3","6"
"11","Punch Line","30","300","10","11","52","104"
