"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Counter-Strike: Global Offensive","1770","9525","4","14","163","5.525423"
"2","Devil May Cry 5","720","3795","4","11","47","3.916666"
"3","Just Chatting","495","2235","3","10","107","12.969696"
"4","Rocket League","480","2250","4","7","49","6.125"
"5","Wolfenstein II: The New Colossus","480","1800","3","8","35","4.375"
"6","Dead Cells","360","1965","3","12","75","12.5"
"7","Tabletop RPGs","360","2280","5","9","48","8"
"8","The Binding of Isaac: Repentance","90","360","4","5","2","1.333333"
"9","Team Fortress 2","75","255","3","4","9","7.2"
"10","Tom Clancy's Rainbow Six Siege","60","495","8","9","15","15"
"11","PUBG: BATTLEGROUNDS","60","345","5","6","7","7"
