"","Stream start time","Stream URL","Stream length (mins)","Watch time (mins)","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"1","Saturday 20th July 2019 22:15","https://sullygnome.com/channel/cuhfgyya123/stream/34982146080","75","225","3","8","0","0","16","10","Blade &amp; Soul"
"2","Friday 19th July 2019 11:02","https://sullygnome.com/channel/cuhfgyya123/stream/34961900000","88","1144","13","27","0","0","75","42","Blade &amp; Soul"
"3","Wednesday 17th July 2019 05:42","https://sullygnome.com/channel/cuhfgyya123/stream/34935181360","183","2196","12","26","-1","0","136","45","Blade &amp; Soul"
