"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","3855","26235","6","24","734","11.424124"
"2","Teamfight Tactics","3375","27435","6","18","608","10.808888"
"3","Overwatch","585","3360","6","10","64","6.564102"
"4","Minecraft","525","4770","8","14","162","18.514285"
"5","notmycar","180","1095","6","9","29","9.666666"
"6","PUBG: BATTLEGROUNDS","150","675","4","7","15","6"
"7","Papers, Please","105","1050","10","15","17","9.714285"
"8","Apex Legends","60","240","4","7","4","4"
"9","Krunker","15","45","3","3","0","0"
"10","Just Chatting","15","75","5","5","2","8"
"11","Unlisted on Twitch","15","75","5","5","2","8"
"12","Games + Demos","15","60","4","4","2","8"
