"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Isle","885","9510","9","25","361","24.474576"
"2","Cities: Skylines","810","8535","9","19","352","26.074074"
"3","MORDHAU","435","3540","8","14","191","26.344827"
"4","Human: Fall Flat","420","4560","11","17","114","16.285714"
"5","Just Chatting","315","2040","5","12","340","64.761904"
"6","Squad","285","2880","9","18","102","21.473684"
"7","DayZ","210","1530","7","11","101","28.857142"
"8","Gothic II: Night of the Raven","195","1800","9","17","27","8.307692"
"9","Dead by Daylight","150","1590","10","14","35","14"
"10","skribbl.io","90","1140","12","14","12","8"
"11","PUBG: BATTLEGROUNDS","75","750","10","12","34","27.2"
"12","League of Legends","30","285","9","10","33","66"
