"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","7 Days to Die","615","6645","9","26","204","19.902439"
"2","Doki Doki Literature Club!","570","5955","8","15","201","21.157894"
"3","Borderlands","390","3555","8","17","110","16.923076"
"4","Pokémon: Let's Go, Pikachu!","330","1800","5","8","59","10.727272"
"5","Yooka-Laylee","330","2445","7","10","105","19.090909"
"6","Tom Clancy's The Division 2","240","1950","6","15","82","20.5"
"7","Bayonetta","150","765","5","7","23","9.2"
"8","Twitch Sings","75","615","8","10","31","24.8"
"9","Marbles on Stream","60","405","6","8","9","9"
"10","Mario Kart 8","15","90","6","6","1","4"
