"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Marbles on Stream","1230","49350","41","105","950","46.341463"
"2","The Fall Part 2: Unbound","900","19950","21","49","556","37.066666"
"3","Dead by Daylight","585","16245","25","62","445","45.641025"
"4","Magic: The Gathering","540","16125","28","43","284","31.555555"
"5","The Fall","405","11280","27","45","213","31.555555"
"6","The Witcher 3: Wild Hunt","375","9705","25","37","544","87.04"
"7","Talk Shows & Podcasts","240","3525","12","24","83","20.75"
"8","Twitch Sings","240","8160","34","43","208","52"
"9","Disgaea: Hour of Darkness","180","3270","18","25","104","34.666666"
"10","Stardew Valley","180","4725","26","35","114","38"
"11","Just Chatting","180","4710","25","34","91","30.333333"
"12","911 Operator","135","4215","31","45","122","54.222222"
"13","Hollow Knight","120","11475","95","134","383","191.5"
"14","Jackbox Party Packs","90","1290","13","22","69","46"
"15","Hearthstone","90","1620","17","25","71","47.333333"
"16","World of Warcraft","60","1005","16","21","27","27"
"17","Keep Talking and Nobody Explodes","60","2490","41","44","48","48"
"18","Food & Drink","30","450","15","18","12","24"
