"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","3255","230445","73","236","7348","135.447004"
"2","Just Chatting","1815","145455","81","232","8031","265.487603"
"3","Super Mario Maker 2","1560","127440","80","241","4076","156.76923"
"4","Minecraft","1110","88680","72","180","3705","200.27027"
"5","League of Legends","930","41145","43","69","2223","143.419354"
"6","Counter-Strike","765","39900","50","137","1935","151.764705"
"7","House Flipper","615","42060","68","95","1535","149.756097"
"8","skribbl.io","510","36195","70","124","1684","198.117647"
"9","Welcome to the Game II","420","69120","196","322","1540","220"
"10","Portal 2","210","10995","52","57","530","151.428571"
"11","Super Smash Bros. Ultimate","150","29625","197","427","1013","405.2"
"12","The Legend of Zelda: Breath of the Wild","90","18060","200","242","368","245.333333"
"13","Fortnite","90","4680","52","65","243","162"
"14","Unlisted on Twitch","60","5505","91","98","284","284"
"15","Realm Royale Reforged","60","8475","141","156","309","309"
"16","Pummel Party","60","3885","64","72","259","259"
"17","The Jackbox Party Pack","60","7005","116","236","402","402"
"18","Mount Your Friends 3D: A Hard Man is Good to Climb","45","3060","68","73","171","228"
"19","Food & Drink","45","3720","82","116","139","185.333333"
"20","Tabletop Simulator","30","1665","55","60","68","136"
"21","Tower Unite","30","1230","41","41","121","242"
