"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","DayZ","12255","349080","24","460","7256","35.525091"
"2","osu!","165","3270","17","28","139","50.545454"
"3","Hollow Knight","120","1515","12","15","70","35"
"4","Just Chatting","75","1740","23","27","45","36"
