"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Destiny 2","4335","27150","5","24","557","7.709342"
"2","Super Mario Maker 2","735","6945","9","15","157","12.816326"
"3","Detroit: Become Human","690","5070","6","13","81","7.043478"
"4","Visage","495","3735","7","13","54","6.545454"
"5","Dauntless","465","2925","5","9","51","6.580645"
"6","Crash Team Racing Nitro-Fueled","300","1770","6","11","64","12.8"
"7","Overwatch","285","1260","4","8","57","12"
"8","Just Dance 2019","255","2955","11","23","204","48"
"9","PAYDAY 2","240","1155","5","6","20","5"
"10","John Wick Chronicles","150","870","5","13","19","7.6"
"11","Vacation Simulator","120","600","5","9","31","15.5"
"12","The Elder Scrolls V: Skyrim","105","720","6","9","33","18.857142"
"13","Overcooked! 2","90","555","6","7","12","8"
"14","Fallout 4","90","675","7","9","15","10"
"15","For Honor","75","300","4","5","20","16"
"16","Twitch Sings","75","645","9","11","16","12.8"
"17","Garden Paws","60","570","9","13","11","11"
