"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","2190","7065","2","7","120","3.287671"
"2","DARK SOULS III","1470","4935","2","7","80","3.265306"
"3","League of Legends","1035","3390","2","7","89","5.15942"
"4","Apex Legends","795","3420","3","8","63","4.754716"
"5","Princess Connect! Re:Dive","570","2040","3","8","78","8.210526"
"6","The Elder Scrolls V: Skyrim","555","2190","3","8","37","4"
"7","Just Chatting","375","1095","2","8","132","21.12"
"8","Overwatch","300","600","1","5","17","3.4"
"9","Last Day of June","180","240","1","2","8","2.666666"
"10","Totally Accurate Battle Simulator","135","225","1","3","9","4"
"11","Moonlighter","120","600","5","6","17","8.5"
"12","Ironsight","60","240","4","5","16","16"
