"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dota Underlords","840","4410","5","11","115","8.214285"
"2","Fitness & Health","570","2940","4","12","93","9.789473"
"3","League of Legends","480","2910","5","12","81","10.125"
"4","Age of Empires III: The Asian Dynasties","225","1665","8","9","50","13.333333"
"5","Just Chatting","225","975","4","7","24","6.4"
"6","StarCraft","120","855","6","9","22","11"
"7","Resident Evil 2","105","450","4","6","34","19.428571"
"8","Dota 2","60","330","5","6","0","0"
"9","Teamfight Tactics","60","270","4","5","1","1"
"10","The King of Fighters 2006","30","60","2","3","8","16"
