"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","2775","8760","2","6","147","3.178378"
"2","Path of Exile","2490","8670","2","9","140","3.373493"
"3","Warframe","1320","6345","3","13","145","6.590909"
"4","Call of Duty: Black Ops 4","615","1140","1","4","36","3.512195"
"5","Destiny 2","525","2445","3","9","32","3.657142"
"6","The Elder Scrolls Online","285","870","3","4","14","2.947368"
"7","Diablo III","150","585","3","6","9","3.6"
"8","Heroes of the Storm","60","90","1","2","10","10"
"9","Metal Gear Survive","60","105","1","2","9","9"
"10","Just Chatting","45","150","3","4","2","2.666666"
