"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","DayZ","4635","97455","17","53","3315","42.912621"
"2","Apex Legends","1920","21630","9","25","901","28.15625"
"3","PUBG: BATTLEGROUNDS","1890","16950","7","21","811","25.746031"
"4","Fortnite","435","2490","5","11","71","9.793103"
"5","Tom Clancy's Rainbow Six Siege","45","120","2","4","26","34.666666"
"6","Unlisted on Twitch","45","195","4","6","16","21.333333"
"7","Dauntless","30","135","4","5","16","32"
"8","Just Chatting","15","60","4","4","9","36"
"9","Overwatch","15","90","6","6","21","84"
"10","H1Z1","15","135","9","9","0","0"
