"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","SOMA","600","3315","5","11","78","7.8"
"2","Amnesia: The Dark Descent","375","1665","4","8","49","7.84"
"3","Remothered: Tormented Fathers","270","1635","5","11","31","6.888888"
"4","Resident Evil 7: Biohazard","225","1335","5","10","45","12"
"5","Amnesia: A Machine for Pigs","195","705","3","6","19","5.846153"
"6","PAYDAY 2","135","570","5","7","15","6.666666"
"7","Just Chatting","120","330","2","4","14","7"
"8","Welcome to the Game II","105","645","6","8","45","25.714285"
"9","Overwatch","105","720","6","8","18","10.285714"
"10","Hunt: Showdown","60","315","5","6","10","10"
"11","Outlast II","60","180","3","4","13","13"
"12","League of Legends","45","240","5","6","5","6.666666"
"13","The Long Dark","30","180","6","8","2","4"
"14","Fortnite","15","45","3","3","0","0"
