"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario Maker 2","600","2160","3","8","27","2.7"
"2","Super Smash Bros. Ultimate","570","1890","2","7","31","3.263157"
"3","The Jackbox Party Pack","270","1305","4","9","10","2.222222"
"4","Spooky's Jump Scare Mansion","210","750","4","7","11","3.142857"
"5","Just Chatting","180","690","3","7","8","2.666666"
"6","Tetris Attack","120","345","2","4","7","3.5"
"7","The Jackbox Party Pack 4","120","1320","11","15","19","9.5"
"8","Donkey Kong 64","120","690","5","7","18","9"
"9","Tempo","120","225","1","2","5","2.5"
"10","Splatoon 2","105","390","3","6","8","4.571428"
"11","Ballz 3D: Fighting at Its Ballziest","105","390","3","7","16","9.142857"
"12","Earthworm Jim 2","105","195","1","3","5","2.857142"
"13","Donkey Kong Country","90","255","2","3","2","1.333333"
"14","ROBLOX","75","270","3","5","5","4"
"15","Donkey Kong Country: Tropical Freeze","75","555","7","9","9","7.2"
"16","Old School RuneScape","75","135","1","2","4","3.2"
"17","Mortal Kombat X","75","240","3","4","5","4"
"18","The Jackbox Party Pack 5","60","615","10","13","6","6"
