"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Sid Meier's Civilization VI","915","1530","1","4","38","2.491803"
"2","Magic: The Gathering","840","1845","1","5","42","3"
"3","Counter-Strike: Global Offensive","585","690","0","4","24","2.461538"
"4","Marbles on Stream","495","2220","3","11","79","9.575757"
"5","Age of Wonders III","255","345","1","2","15","3.529411"
"6","TrackMania 2: Stadium","210","375","1","5","27","7.714285"
"7","League of Legends","165","270","1","3","3","1.090909"
"8","Teamfight Tactics","150","195","1","2","3","1.2"
"9","Total War: Warhammer II","150","210","1","3","7","2.8"
"10","Blood Bowl","105","405","3","5","7","4"
"11","Just Chatting","75","45","0","2","1","0.8"
"12","Banished","15","15","1","1","4","16"
"13","Sid Meier's Civilization IV","15","15","1","1","0","0"
