"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","645","1650","2","6","81","7.534883"
"2","Destiny 2","615","705","0","5","40","3.902439"
"3","Just Chatting","210","720","3","6","30","8.571428"
"4","Fortnite","195","450","2","7","24","7.384615"
"5","Yu-Gi-Oh! Duel Links","90","300","3","6","11","7.333333"
"6","The Sinking City","75","75","1","3","3","2.4"
"7","Call of Duty: Black Ops 4","45","75","1","3","4","5.333333"
