"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Vampyr","1605","11535","6","19","536","20.037383"
"2","Battlefield V","945","7575","7","17","362","22.984126"
"3","Divinity: Original Sin II","885","10725","11","18","283","19.18644"
"4","Prey","615","4635","6","15","197","19.219512"
"5","Art","585","9720","16","26","253","25.948717"
"6","Teamfight Tactics","450","3030","5","16","163","21.733333"
"7","Battlerite","405","4170","9","19","193","28.592592"
"8","Battlerite Royale","330","3135","9","16","125","22.727272"
"9","Garry's Mod","165","2655","16","23","57","20.727272"
"10","RAGE 2","150","1350","8","12","58","23.2"
"11","Talk Shows & Podcasts","105","630","6","9","17","9.714285"
"12","Unlisted on Twitch","90","900","10","11","6","4"
"13","Bloodstained: Ritual of the Night","90","615","6","10","18","12"
"14","Metal Slug X: Super Vehicle - 001","30","570","19","20","38","76"
