"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Sinking City","1215","50820","38","192","2472","122.074074"
"2","The Sims 4","1050","36825","35","53","1819","103.942857"
"3","Dead by Daylight","1035","43185","39","227","1643","95.246376"
"4","Cooking Simulator","705","24930","34","56","863","73.446808"
"5","Just Chatting","660","25830","30","79","2110","191.818181"
"6","Pamali: Indonesian Folklore Horror","120","4350","34","40","271","135.5"
"7","F.E.A.R. 2: Project Origin","105","2715","25","31","144","82.285714"
"8","Love, Sam","90","2580","28","36","194","129.333333"
"9","ANDROMALIUS","60","1860","31","40","91","91"
"10","Games + Demos","45","975","21","23","111","148"
"11","Travel & Outdoors","30","2460","82","89","0","0"
"12","The Witch's House","15","285","19","19","29","116"
