"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Mortal Kombat 11","2760","199230","52","266","3255","70.760869"
"2","Super Mario Maker 2","1560","10110","6","24","253","9.730769"
"3","World of Warcraft","1155","9240","7","28","305","15.844155"
"4","Marvel Ultimate Alliance 3: The Black Order","555","4335","6","17","204","22.054054"
"5","Quake Champions","375","6210","14","36","248","39.68"
"6","Fantasy Strike","300","8250","23","36","168","33.6"
"7","Diablo III","165","1125","6","10","24","8.727272"
"8","The Evil Within","135","1095","8","11","51","22.666666"
"9","Pokkén Tournament","75","540","7","11","13","10.4"
"10","Pokémon: Let's Go, Pikachu!","45","105","2","3","8","10.666666"
"11","Million Arthur: Arcana Blood","15","195","13","13","0","0"
