"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","840","11115","9","23","338","24.142857"
"2","Life is Strange 2","315","2490","7","17","83","15.809523"
"3","A Plague Tale: Innocence","315","2910","8","15","51","9.714285"
"4","Visage","225","1950","8","13","75","20"
"5","House Flipper","210","2250","10","15","67","19.142857"
"6","Deadly Premonition: Director's Cut","195","2310","11","15","55","16.923076"
"7","Call of Juarez","180","1560","8","14","66","22"
"8","Garry's Mod","150","1500","12","16","38","15.2"
"9","The Sinking City","150","1425","9","12","34","13.6"
"10","Music","135","900","6","9","39","17.333333"
"11","Overcooked!","120","1155","9","11","12","6"
"12","The Blackout Club","90","1635","18","26","47","31.333333"
"13","Cooking Simulator","75","690","9","12","28","22.4"
"14","Subsistence","75","735","9","12","14","11.2"
"15","The Cycle","60","390","6","9","14","14"
"16","MORDHAU","45","540","12","13","4","5.333333"
"17","Trüberbrook","30","210","7","8","0","0"
"18","Talk Shows & Podcasts","30","525","17","18","20","40"
"19","Squad","30","270","9","10","11","22"
