"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Teamfight Tactics","1920","35340","20","41","1058","33.0625"
"2","Fortnite","780","15780","20","40","641","49.307692"
"3","The Sims 4","375","8475","20","37","224","35.84"
"4","Pokémon Gold","315","7035","21","39","244","46.47619"
"5","Just Chatting","150","2550","16","24","304","121.6"
"6","StarCraft II","135","2820","20","26","125","55.555555"
"7","Who's Your Daddy","90","1635","19","28","45","30"
"8","Gartic","90","1500","17","21","52","34.666666"
"9","Pummel Party","30","720","24","24","13","26"
"10","The Jackbox Party Pack","30","375","12","13","6","12"
