"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Cities: Skylines","960","64920","63","114","3365","210.3125"
"2","Far Cry New Dawn","675","43635","65","104","2243","199.377777"
"3","Grand Theft Auto V","660","49350","80","137","2513","228.454545"
"4","Just Chatting","660","53235","51","207","4812","437.454545"
"5","The Witcher 3: Wild Hunt","570","18405","33","47","1142","120.210526"
"6","Tom Clancy's Rainbow Six Siege","555","24210","41","75","1359","146.918918"
"7","Sea of Thieves","525","32175","60","78","1838","210.057142"
"8","Call of Duty: Black Ops III","345","18255","56","90","983","170.956521"
"9","Marbles on Stream","330","16875","59","133","917","166.727272"
"10","Minecraft","195","15630","80","111","757","232.923076"
"11","American Truck Simulator","165","15075","91","128","587","213.454545"
"12","UNO","135","9510","69","80","541","240.444444"
"13","Apex Legends","90","2670","33","39","93","62"
"14","Overwatch","75","1680","22","29","98","78.4"
"15","Fortnite","60","2250","37","45","45","45"
"16","Pummel Party","60","4755","79","84","249","249"
"17","RUNE II","15","375","25","25","0","0"
