"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Stellaris","1785","16725","8","20","361","12.134453"
"2","Monster Hunter: World","945","4125","3","9","103","6.539682"
"3","Teamfight Tactics","570","2895","3","9","102","10.736842"
"4","Star Trek Online","540","3600","6","17","208","23.111111"
"5","Jackbox Party Packs","105","1185","11","16","22","12.571428"
"6","Unlisted on Twitch","90","870","9","12","29","19.333333"
