"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","SMITE","1050","2940","2","11","121","6.914285"
"2","Outer Wilds","240","240","1","2","11","2.75"
"3","Art","15","15","1","1","0","0"
