"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","iRacing","1815","12780","6","28","587","19.404958"
"2","Assetto Corsa","225","1020","4","7","46","12.266666"
"3","eXperience 112","60","270","4","5","18","18"
