"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Euro Truck Simulator 2","2925","9360","2","12","541","11.097435"
"2","Hard Truck: Apocalypse","780","1275","1","4","88","6.76923"
"3","American Truck Simulator","555","1770","3","6","81","8.756756"
"4","MudRunner","390","915","2","5","61","9.384615"
"5","Cooking Simulator","390","735","1","5","39","6"
"6","PAYDAY 2","120","225","1","4","12","6"
"7","Need For Speed: Payback","120","180","1","3","23","11.5"
"8","Just Dance 2019","75","540","7","10","34","27.2"
"9","World of Warcraft","75","135","1","3","57","45.6"
"10","PUBG: BATTLEGROUNDS","45","45","1","1","5","6.666666"
