"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Chrono Trigger","885","5805","6","15","141","9.559322"
"2","Katana ZERO","300","1365","4","7","51","10.2"
"3","Team Sonic Racing","195","1215","6","10","17","5.230769"
"4","Retro","195","975","4","7","36","11.076923"
"5","StarCraft II","180","1890","10","16","74","24.666666"
"6","The Sinking City","135","795","5","11","10","4.444444"
"7","Grand Theft Auto V","105","585","5","9","13","7.428571"
"8","Diablo III","75","465","6","12","20","16"
"9","Sonic Generations","60","300","5","6","21","21"
"10","Travel & Outdoors","60","270","4","6","16","16"
"11","Board Games","30","150","5","5","11","22"
"12","Rocket League","30","225","7","8","16","32"
"13","StarCraft","30","105","3","4","0","0"
"14","Sonic & Knuckles","30","105","3","5","15","30"
"15","Sonic the Hedgehog Chaos","30","165","5","6","15","30"
"16","Sonic Adventure 2","15","60","4","4","0","0"
"17","Sonic the Hedgehog 4: Episode I","15","75","5","5","15","60"
"18","Yakuza 0","15","105","7","7","1","4"
"19","Poker","15","30","2","2","3","12"
"20","Tricky Towers","15","105","7","7","10","40"
"21","Sonic Mania","15","105","7","7","0","0"
