"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Persona 4","1950","28035","13","27","347","10.676923"
"2","The Legend of Zelda: Ocarina of Time","810","10125","12","21","167","12.37037"
"3","The Sinking City","795","14355","18","32","305","23.018867"
"4","The Elder Scrolls V: Skyrim","555","10590","19","27","199","21.513513"
"5","Wolfenstein II: The New Colossus","465","7005","13","23","91","11.741935"
"6","Gears of War 2","450","3855","8","13","140","18.666666"
"7","Dungeons & Dragons","435","6060","12","23","150","20.689655"
"8","Talk Shows & Podcasts","405","3045","7","11","69","10.222222"
"9","Stardew Valley","390","3015","6","15","39","6"
"10","Dota Underlords","390","3615","9","14","45","6.923076"
"11","Gears of War: Ultimate Edition","330","2895","8","16","136","24.727272"
"12","The Jackbox Party Pack 5","285","4950","17","21","47","9.894736"
"13","Sea of Thieves","210","3975","18","23","324","92.571428"
"14","Grand Theft Auto Online","195","1395","7","12","51","15.692307"
"15","WWE 2K19","150","2355","15","20","24","9.6"
"16","Ultimate Chicken Horse","135","1875","13","15","126","56"
"17","Just Chatting","120","2160","12","26","59","29.5"
"18","SINNER: Sacrifice for Redemption","60","300","5","10","24","24"
"19","Quantum Break","60","480","8","11","13","13"
"20","Golf With Your Friends","30","465","15","16","23","46"
