"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Apex Legends","2745","10890","3","10","187","4.087431"
"2","Dota Underlords","2220","12900","4","20","288","7.783783"
"3","Tom Clancy's Rainbow Six Siege","1680","6000","3","8","95","3.392857"
"4","The Sinking City","765","2460","2","8","70","5.490196"
"5","Mutant Year Zero: Road to Eden","705","1815","1","7","55","4.680851"
"6","Bless Unleashed","285","720","2","5","33","6.947368"
"7","House Flipper","225","780","3","6","11","2.933333"
"8","Hellblade: Senua's Sacrifice","150","405","2","3","6","2.4"
"9","Dead Rising 4","135","480","3","5","6","2.666666"
"10","My Time at Portia","75","225","3","4","6","4.8"
"11","The Banner Saga","60","150","2","5","2","2"
"12","Gears 5","45","120","2","3","10","13.333333"
"13","Hollow Knight","45","120","2","3","4","5.333333"
"14","World War Z","45","225","5","5","1","1.333333"
