"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Call of Duty: Black Ops 4","1860","25620","12","80","1036","33.419354"
"2","Fortnite","1020","15390","17","68","719","42.294117"
"3","Minecraft","495","5310","10","18","48","5.818181"
"4","Gang Beasts","255","3195","12","16","48","11.294117"
"5","Apex Legends","210","3690","28","70","192","54.857142"
"6","Just Chatting","195","6105","31","76","361","111.076923"
"7","skribbl.io","195","4020","18","54","81","24.923076"
"8","Overwatch","165","4380","33","63","189","68.727272"
"9","Splitgate","135","1740","12","30","163","72.444444"
"10","Deathgarden: BLOODHARVEST","105","4080","29","64","485","277.142857"
"11","Call of Duty: Black Ops II","90","1500","16","23","11","7.333333"
"12","Hollow Knight","75","3780","49","67","198","158.4"
"13","Borderlands 2","60","525","8","10","10","10"
"14","UNO","45","390","8","10","7","9.333333"
