"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","PUBG: BATTLEGROUNDS","3810","9810","2","34","691","10.881889"
"2","Minecraft","660","1515","1","13","60","5.454545"
"3","Battlefield V","285","375","1","3","30","6.315789"
"4","PUBG Mobile","195","225","0","3","9","2.76923"
"5","Special Events","60","53355","889","1860","2819","2819"
"6","Unlisted on Twitch","60","60","1","1","6","6"
"7","Battlefield 1","60","15","0","1","2","2"
"8","Fortnite","45","60","1","2","0","0"
"9","The Forest","45","195","4","6","4","5.333333"
"10","World War Z","45","90","2","3","6","8"
