"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Star Wars: Jedi Knight - Jedi Academy","585","1695","2","8","69","7.076923"
"2","DARK SOULS III","465","720","1","5","66","8.516129"
"3","Demon's Souls","375","600","1","3","52","8.32"
"4","Anime Music Quiz","45","210","4","6","21","28"
"5","Heroes of Might and Magic III: The Shadow of Death","30","120","4","5","17","34"
