"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","2970","56355","16","65","4716","95.272727"
"2","Teamfight Tactics","2700","43080","15","28","2036","45.244444"
"3","League of Legends","780","10695","12","24","775","59.615384"
"4","Overwatch","360","5565","14","22","319","53.166666"
"5","PUBG: BATTLEGROUNDS","135","2265","16","19","107","47.555555"
"6","A Dance of Fire and Ice","90","1185","13","15","71","47.333333"
"7","Angvik","60","1215","20","26","109","109"
"8","Sekiro: Shadows Die Twice","45","885","19","21","71","94.666666"
"9","Food & Drink","45","585","13","15","25","33.333333"
"10","Fitness & Health","45","630","14","14","81","108"
