"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","1485","27960","17","33","3176","128.323232"
"2","PUBG: BATTLEGROUNDS","975","17655","17","43","808","49.723076"
"3","Hearthstone","735","21930","23","46","754","61.55102"
"4","Ori and the Blind Forest","285","5100","17","23","166","34.947368"
"5","A Way Out","270","5310","19","28","162","36"
"6","Doraemon: Nobita no Bokujō Monogatari","225","5610","24","30","167","44.533333"
"7","StarCraft","225","5535","24","32","352","93.866666"
"8","Overcooked! 2","210","3465","15","20","94","26.857142"
"9","Dead by Daylight","165","3330","20","26","176","64"
"10","Teamfight Tactics","120","2700","22","27","90","45"
"11","Keep Talking and Nobody Explodes","90","1560","17","20","89","59.333333"
"12","60 Seconds!","75","1890","25","32","75","60"
"13","Kartrider","75","1635","21","27","76","60.8"
"14","Just Dance 2019","45","1050","23","24","74","98.666666"
