"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","osu!","1245","2010","1","5","152","7.325301"
"2","Minecraft","945","1680","1","6","123","7.809523"
"3","Counter-Strike: Global Offensive","465","600","1","4","72","9.290322"
"4","Rocket League","75","240","2","7","5","4"
"5","Dota Underlords","75","105","1","2","8","6.4"
"6","Brawlhalla","60","60","2","4","9","9"
"7","Just Chatting","60","75","1","2","3","3"
"8","Games + Demos","45","45","1","1","3","4"
"9","Unlisted on Twitch","15","30","2","2","3","12"
"10","Fortnite","15","45","3","3","12","48"
"11","Dead Space 2","15","30","2","2","9","36"
