"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Overwatch","345","4065","10","23","164","28.521739"
"2","FINAL FANTASY XIV ONLINE","165","2295","12","21","102","37.090909"
"3","Just Chatting","150","1920","9","22","171","68.4"
"4","Visage","135","1650","12","16","96","42.666666"
