"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Fortnite","870","10260","10","152","888","61.241379"
"2","Apex Legends","105","525","4","7","39","22.285714"
"3","Just Chatting","90","675","6","10","22","14.666666"
