"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","2205","20205","7","142","584","15.891156"
"2","Shadow of the Tomb Raider","585","3000","4","9","47","4.820512"
"3","HITMAN 2","375","2595","7","12","66","10.56"
"4","A Way Out","300","975","3","5","34","6.8"
"5","Batman: Arkham Knight","285","1920","6","11","38","8"
"6","Trover Saves the Universe","225","765","3","6","31","8.266666"
"7","Visage","210","1380","6","9","36","10.285714"
"8","The Jackbox Party Pack 4","195","1575","8","14","30","9.230769"
"9","Overwatch","150","750","5","7","9","3.6"
"10","L.A. Noire","105","585","5","8","28","16"
"11","Twitch Sings","75","420","5","7","20","16"
