"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dragon Quest Builders 2","3390","9615","2","8","216","3.823008"
"2","Mafia III","1020","2445","1","10","73","4.294117"
"3","Tom Clancy's The Division 2","930","2685","2","9","75","4.838709"
"4","Wolfenstein: Youngblood","615","1005","1","8","48","4.682926"
"5","Batman: Arkham Knight","390","960","2","5","33","5.076923"
"6","CRSED: F.O.A.D.","225","345","1","4","10","2.666666"
"7","The Crew 2","195","195","1","2","12","3.692307"
"8","Forza Horizon 4","180","465","2","5","29","9.666666"
"9","RAGE 2","120","30","0","1","7","3.5"
"10","Friday the 13th: The Game","90","180","2","4","15","10"
"11","Mafia II","60","45","0","2","7","7"
"12","Wreckfest","45","135","2","6","0","0"
"13","Hunt: Showdown","30","30","1","1","6","12"
