"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Magic: The Gathering","2340","8775","2","25","474","12.153846"
"2","Teamfight Tactics","330","495","1","3","43","7.818181"
"3","Path of Exile","165","285","1","2","17","6.181818"
"4","Rocket League","120","150","1","2","12","6"
"5","PUBG: BATTLEGROUNDS","15","15","1","1","0","0"
