"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Music","1155","59250","44","91","1797","93.350649"
"2","PUBG: BATTLEGROUNDS","795","29370","41","68","633","47.773584"
"3","Call of Duty: Black Ops 4","480","15285","28","53","296","37"
"4","The Dark Occult","240","12135","50","65","211","52.75"
"5","Dungeon Nightmares II: The Memory","60","2010","33","59","73","73"
