"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Pokémon Emerald Version","1785","8265","4","9","142","4.773109"
"2","Minecraft","1545","12360","7","12","188","7.30097"
"3","Thief","735","3615","4","7","44","3.591836"
"4","Sonic Unleashed","690","3645","4","9","63","5.47826"
"5","Wizard101","540","5370","9","13","142","15.777777"
"6","The Legend of Heroes: Trails in the Sky","390","2445","6","9","30","4.615384"
"7","Spy Fox in ""Dry Cereal""","255","1185","4","7","12","2.823529"
"8","SMITE","240","1365","5","9","32","8"
"9","Old School RuneScape","180","1155","6","9","12","4"
"10","The Jackbox Party Pack 5","180","1635","9","12","44","14.666666"
"11","Sleeping Dogs","105","525","5","6","15","8.571428"
"12","Risk: Factions","90","525","5","8","29","19.333333"
"13","FusionFall Retro","60","330","5","6","4","4"
"14","Spy Fox 3: Operation Ozone","60","270","4","8","12","12"
"15","Guitar Hero","60","390","6","7","25","25"
"16","Wipeout HD","45","285","6","8","4","5.333333"
"17","Sly Cooper and the Thievius Raccoonus","30","90","3","3","0","0"
