"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","810","4335","4","12","81","6"
"2","Battlefield V","675","2250","3","7","147","13.066666"
"3","Wolfenstein: Youngblood","405","1335","2","9","52","7.703703"
"4","Apex Legends","375","1380","2","6","56","8.96"
"5","Overwatch","150","495","2","5","26","10.4"
"6","The Evil Within","105","300","2","5","7","4"
"7","League of Legends","60","135","2","3","15","15"
"8","Battlefield 1","45","150","3","4","14","18.666666"
"9","Minecraft","15","60","4","4","0","0"
"10","Call of Duty: Black Ops 4","15","45","3","3","7","28"
