"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","FINAL FANTASY XIV ONLINE","4395","182055","37","77","2395","32.696245"
"2","The Legend of Heroes: Trails of Cold Steel II","810","45810","51","79","462","34.222222"
"3","Dishonored","630","32835","42","201","583","55.523809"
"4","Bloodstained: Ritual of the Night","435","19410","44","59","189","26.068965"
"5","The Legend of Heroes: Trails of Cold Steel","345","24810","71","98","234","40.695652"
"6","Chronicon","270","10725","44","55","222","49.333333"
"7","Earth Defense Force 5","180","4770","26","45","107","35.666666"
"8","Crysis 2","180","4455","24","33","72","24"
"9","Crash Bandicoot N. Sane Trilogy","135","6240","44","53","69","30.666666"
"10","A Hat in Time","135","5100","33","53","42","18.666666"
"11","Trash","105","6960","66","90","131","74.857142"
"12","System Shock 2","60","3645","60","82","124","124"
"13","Neverinth: The Never Ending Labyrinth","45","2055","45","47","51","68"
