"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Super Mario Maker 2","8010","51255","5","18","1040","7.790262"
"2","Just Chatting","240","1185","3","10","45","11.25"
"3","Super Smash Bros. Ultimate","210","1635","7","21","72","20.571428"
"4","Mario Kart 8","180","1245","8","14","46","15.333333"
"5","Counter-Strike: Global Offensive","120","375","3","7","16","8"
"6","SMITE","120","660","5","8","17","8.5"
"7","Unlisted on Twitch","105","525","5","7","27","15.428571"
"8","Fortnite","60","105","2","3","7","7"
"9","Music","45","45","1","2","0","0"
"10","Octopath Traveler","30","165","5","6","1","2"
