"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","The Witness","960","20520","18","48","355","22.1875"
"2","Planet Coaster","630","16545","26","59","250","23.809523"
"3","NieR: Automata","615","9330","14","27","155","15.121951"
"4","The Evil Within","360","11295","31","48","145","24.166666"
"5","Hell Let Loose","345","7620","22","38","156","27.130434"
"6","World War Z","315","13005","40","50","146","27.809523"
"7","Teamfight Tactics","240","11280","47","58","117","29.25"
"8","Horizon Zero Dawn","225","9480","42","67","92","24.533333"
"9","Kubifaktorium","150","3570","23","41","105","42"
"10","Pokémon: Let's Go, Pikachu!","135","3960","29","43","123","54.666666"
"11","Tales from the Borderlands","135","3570","26","35","69","30.666666"
"12","Mario Kart 8","105","4410","42","47","92","52.571428"
"13","Dragon Quest Builders 2","75","1050","14","15","18","14.4"
"14","Dauntless","75","1275","17","22","34","27.2"
