"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Dead by Daylight","3165","40140","11","40","1130","21.4218"
"2","Minecraft","405","3720","9","13","60","8.888888"
"3","Call of Duty: Black Ops II","135","1755","13","15","68","30.222222"
"4","Borderlands 2","90","1365","15","17","11","7.333333"
"5","Unlisted on Twitch","90","720","8","10","21","14"
"6","Just Chatting","75","1020","13","15","17","13.6"
"7","Overwatch","75","750","10","11","83","66.4"
