"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Tom Clancy's Rainbow Six Siege","525","70635","135","174","1582","180.8"
"2","Wolfenstein: The New Order","480","71265","147","168","1396","174.5"
"3","F.E.A.R.","330","45615","138","162","829","150.727272"
"4","Minecraft","240","43500","181","223","925","231.25"
"5","Mirror's Edge","225","37035","164","176","634","169.066666"
"6","F.E.A.R. Extraction Point","180","19425","107","130","445","148.333333"
