"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Batman: Arkham Knight","2250","8790","3","26","100","2.666666"
"2","Dead or Alive 6","795","9690","10","39","132","9.962264"
"3","Unlisted on Twitch","540","1290","1","6","15","1.666666"
"4","Warriors All-Stars","510","1650","2","6","21","2.470588"
"5","Attack on Titan 2: Final Battle","480","1695","2","9","27","3.375"
"6","HITMAN 2","345","525","1","3","7","1.217391"
"7","Hokuto no Ken 2: Seikimatsu Kyuuseishu Densetsu","300","1335","4","7","5","1"
"8","Need for Speed","270","960","3","8","9","2"
"9","Resident Evil 2","195","480","2","5","9","2.76923"
"10","Marvel's Spider-Man","165","390","2","4","1","0.363636"
"11","Friday the 13th: The Game","90","90","1","1","0","0"
"12","Pinball FX3","60","45","0","2","0","0"
"13","Horizon Chase","30","30","1","1","0","0"
