"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Wolfenstein: The Old Blood","975","29160","28","45","667","41.046153"
"2","Wolfenstein: Youngblood","360","13560","28","252","471","78.5"
"3","Just Chatting","345","11070","29","60","341","59.304347"
"4","Gears of War: Ultimate Edition","330","7140","21","34","166","30.181818"
"5","Guild Wars 2","270","7005","25","34","194","43.111111"
"6","Red Dead Redemption 2","225","6915","23","41","101","26.933333"
"7","Apex Legends","210","4755","24","31","114","32.571428"
"8","Dauntless","195","5865","30","36","133","40.923076"
"9","Madden NFL 20","135","3915","29","35","87","38.666666"
"10","Realm Royale Reforged","105","2370","22","26","64","36.571428"
