"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","1080","6960","6","13","78","4.333333"
"2","Teamfight Tactics","810","4995","5","11","65","4.814814"
"3","Pavlov VR","555","2220","3","9","46","4.972972"
"4","VRChat","450","2685","5","9","49","6.533333"
"5","Overwatch","450","2850","6","11","41","5.466666"
"6","Hearthstone","285","1470","4","10","33","6.947368"
"7","Just Chatting","240","1710","7","9","24","6"
"8","Windlands 2","225","1290","5","8","32","8.533333"
"9","Left 4 Dead 2","210","1710","6","11","21","6"
"10","ASMR","195","2085","8","23","61","18.76923"
"11","SUPERHOT VR","120","645","5","9","10","5"
"12","Keep Talking and Nobody Explodes","105","405","3","5","9","5.142857"
"13","Unlisted on Twitch","60","300","5","9","19","19"
"14","FIVE NIGHTS AT FREDDY'S: HELP WANTED","15","45","3","3","0","0"
