"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Just Chatting","5685","4206675","593","1313","181213","1912.538258"
"2","Heroes of the Storm","3615","1830330","499","1248","76817","1274.970954"
"3","Escape from Tarkov","1305","515940","351","977","40976","1883.954022"
"4","Apex Legends","1245","564030","386","1736","47406","2284.626506"
"5","Fortnite","390","267060","684","896","10638","1636.615384"
"6","Overwatch","270","91320","350","507","1392","309.333333"
"7","Unlisted on Twitch","270","153855","647","1248","10804","2400.888888"
"8","Sid Meier's Civilization VI","255","82440","248","436","4286","1008.470588"
"9","Divinity: Original Sin II","240","73170","302","338","5633","1408.25"
"10","PUBG: BATTLEGROUNDS","210","88005","321","706","4751","1357.428571"
"11","The Guild 3","135","42990","326","359","3440","1528.888888"
"12","No Man's Sky","75","21285","283","306","2590","2072"
"13","The Blackout Club","60","34875","581","659","3772","3772"
"14","Satisfactory","60","17310","288","308","999","999"
"15","夢三國","15","5835","389","389","546","2184"
"16","Apex","15","5400","360","360","274","1096"
