"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Grand Theft Auto V","615","645","0","3","10","0.975609"
"2","Tom Clancy's Rainbow Six Siege","540","435","0","3","11","1.222222"
"3","Rocket League","270","180","0","2","9","2"
"4","The Mean Greens: Plastic Warfare","120","150","1","3","8","4"
"5","Just Chatting","90","90","1","2","3","2"
"6","Rayman Legends","75","30","0","1","0","0"
"7","Minecraft","60","60","0","2","2","2"
"8","Brawlhalla","45","45","1","2","0","0"
"9","Counter-Strike: Global Offensive","30","0","0","0","0","0"
"10","Unlisted on Twitch","15","0","0","0","0","0"
