"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","World of Warcraft","2520","6705","2","9","154","3.666666"
"2","Just Chatting","750","2640","2","8","88","7.04"
"3","Teamfight Tactics","615","1785","2","7","48","4.682926"
"4","osu!","405","1395","2","8","41","6.074074"
"5","Destiny 2","390","1305","3","7","36","5.538461"
"6","FINAL FANTASY XIV ONLINE","255","750","2","5","12","2.823529"
"7","Heroes of Hammerwatch","225","750","2","6","11","2.933333"
"8","The Talos Principle","150","450","3","5","15","6"
"9","Hero Siege","135","420","3","4","11","4.888888"
"10","Borderlands 2","120","315","2","3","7","3.5"
"11","Divinity: Original Sin II","120","600","5","6","16","8"
"12","FINAL FANTASY XV","90","315","3","6","4","2.666666"
"13","Imscared","75","285","3","5","10","8"
"14","BioShock Infinite","60","135","2","3","3","3"
"15","League of Legends","45","120","2","3","4","5.333333"
"16","Overwatch","45","75","1","2","8","10.666666"
"17","Apex Legends","45","120","2","4","6","8"
"18","Blade & Sorcery","30","150","5","6","4","8"
"19","Unlisted on Twitch","30","195","6","7","7","14"
"20","Risk of Rain 2","30","150","5","6","2","4"
"21","Blazing Beaks","15","60","4","4","0","0"
