"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","League of Legends","3060","26820","8","16","863","16.921568"
"2","Sea of Thieves","3045","31410","9","25","914","18.009852"
"3","Destiny 2","1095","11205","10","18","217","11.89041"
"4","Hunt: Showdown","420","3345","8","12","133","19"
"5","Euro Truck Simulator 2","225","2580","10","26","169","45.066666"
"6","Pinturillo 2","225","2985","13","19","82","21.866666"
"7","Fortnite","90","510","5","7","12","8"
"8","The Sinking City","75","420","5","7","22","17.6"
"9","Marbles on Stream","60","780","13","18","13","13"
"10","Left 4 Dead 2","30","135","4","6","2","4"
"11","surviv.io","30","150","5","6","22","44"
"12","Overwatch","15","75","5","5","17","68"
