"","Game","Stream time (mins)","Total watch time (mins)","Average viewers","Peak viewers","Views","Views per hour"
"1","Minecraft","2745","6146295","2080","7703","129798","2837.114754"
"2","Portal 2","135","152880","1132","1368","3204","1424"
"3","Far Cry 3","75","42615","568","696","1263","1010.4"
